Num1,Num2,Num3,Num4,Num5,Num6,combined
3,18,19,23,32,45,Num1: 3; Num2: 18; Num3: 19; Num4: 23; Num5: 32; Num6: 45
3,6,9,18,22,35,Num1: 3; Num2: 6; Num3: 9; Num4: 18; Num5: 22; Num6: 35
3,6,22,23,24,38,Num1: 3; Num2: 6; Num3: 22; Num4: 23; Num5: 24; Num6: 38
20,31,32,40,41,45,Num1: 20; Num2: 31; Num3: 32; Num4: 40; Num5: 41; Num6: 45
4,24,27,35,37,45,Num1: 4; Num2: 24; Num3: 27; Num4: 35; Num5: 37; Num6: 45
3,10,24,33,38,45,Num1: 3; Num2: 10; Num3: 24; Num4: 33; Num5: 38; Num6: 45
7,10,22,25,34,40,Num1: 7; Num2: 10; Num3: 22; Num4: 25; Num5: 34; Num6: 40
11,23,25,30,32,40,Num1: 11; Num2: 23; Num3: 25; Num4: 30; Num5: 32; Num6: 40
8,13,19,27,40,45,Num1: 8; Num2: 13; Num3: 19; Num4: 27; Num5: 40; Num6: 45
13,20,24,32,36,45,Num1: 13; Num2: 20; Num3: 24; Num4: 32; Num5: 36; Num6: 45
4,7,12,14,22,33,Num1: 4; Num2: 7; Num3: 12; Num4: 14; Num5: 22; Num6: 33
14,19,27,28,30,45,Num1: 14; Num2: 19; Num3: 27; Num4: 28; Num5: 30; Num6: 45
22,26,29,30,34,45,Num1: 22; Num2: 26; Num3: 29; Num4: 30; Num5: 34; Num6: 45
5,17,26,27,35,38,Num1: 5; Num2: 17; Num3: 26; Num4: 27; Num5: 35; Num6: 38
21,26,30,32,33,35,Num1: 21; Num2: 26; Num3: 30; Num4: 32; Num5: 33; Num6: 35
6,12,31,35,38,43,Num1: 6; Num2: 12; Num3: 31; Num4: 35; Num5: 38; Num6: 43
3,5,13,20,21,37,Num1: 3; Num2: 5; Num3: 13; Num4: 20; Num5: 21; Num6: 37
6,12,17,21,32,39,Num1: 6; Num2: 12; Num3: 17; Num4: 21; Num5: 32; Num6: 39
2,20,33,40,42,44,Num1: 2; Num2: 20; Num3: 33; Num4: 40; Num5: 42; Num6: 44
7,16,25,29,35,36,Num1: 7; Num2: 16; Num3: 25; Num4: 29; Num5: 35; Num6: 36
6,14,15,19,21,41,Num1: 6; Num2: 14; Num3: 15; Num4: 19; Num5: 21; Num6: 41
12,17,20,26,28,36,Num1: 12; Num2: 17; Num3: 20; Num4: 26; Num5: 28; Num6: 36
3,5,12,22,26,31,Num1: 3; Num2: 5; Num3: 12; Num4: 22; Num5: 26; Num6: 31
5,14,15,23,34,43,Num1: 5; Num2: 14; Num3: 15; Num4: 23; Num5: 34; Num6: 43
6,7,9,11,17,18,Num1: 6; Num2: 7; Num3: 9; Num4: 11; Num5: 17; Num6: 18
8,16,26,29,31,36,Num1: 8; Num2: 16; Num3: 26; Num4: 29; Num5: 31; Num6: 36
2,3,6,19,36,39,Num1: 2; Num2: 3; Num3: 6; Num4: 19; Num5: 36; Num6: 39
7,16,24,27,37,44,Num1: 7; Num2: 16; Num3: 24; Num4: 27; Num5: 37; Num6: 44
2,14,15,22,27,33,Num1: 2; Num2: 14; Num3: 15; Num4: 22; Num5: 27; Num6: 33
2,5,22,32,34,45,Num1: 2; Num2: 5; Num3: 22; Num4: 32; Num5: 34; Num6: 45
